0.0.20,spice-server-undertow,spice-core,spice-client,spice,spice-delta,spice-client-okhttp,spice-server
0.0.19,spice-server-undertow,spice-core,spice-client,spice,spice-delta,spice-client-okhttp,spice-server
0.0.18,spice-server-undertow,spice-core,spice-client,spice,spice-delta,spice-client-okhttp,spice-server
0.0.17,spice-server-undertow,spice-core,spice-client,spice,spice-delta,spice-client-okhttp,spice-server
0.0.16,spice-server-undertow,spice-core,spice-client,spice,spice-delta,spice-client-okhttp,spice-server
0.0.15,spice-server-undertow,spice-core,spice-client,spice,spice-delta,spice-client-okhttp,spice-server
0.0.14,spice-server-undertow,spice-core,spice-client,spice,spice-delta,spice-client-okhttp,spice-server
0.0.13,spice-server-undertow,spice-core,spice-client,spice,spice-delta,spice-client-okhttp,spice-server
0.0.12,spice-server-undertow,spice-core,spice-client,spice,spice-delta,spice-client-okhttp,spice-server
0.0.11,spice-server-undertow,spice-core,spice-client,spice,spice-delta,spice-client-okhttp,spice-server
0.0.10,spice-server-undertow,spice-core,spice-client,spice,spice-delta,spice-client-okhttp,spice-server
0.0.9,spice-server-undertow,spice-core,spice-client,spice,spice-delta,spice-client-okhttp,spice-server
0.0.8,spice-server-undertow,spice-core,spice-client,spice,spice-delta,spice-client-okhttp,spice-server
0.0.7,spice-server-undertow,spice-core,spice-client,spice,spice-delta,spice-client-okhttp,spice-server
0.0.6,spice-server-undertow,spice-core,spice-client,spice,spice-delta,spice-client-okhttp,spice-server
0.0.5,spice-server-undertow,spice-core,spice-client,spice,spice-delta,spice-client-okhttp,spice-server
0.0.4,spice-server-undertow,spice-core,spice-client,spice,spice-delta,spice-client-okhttp,spice-server
0.0.3,spice-server-undertow,spice-core,spice-client,spice,spice-delta,spice-client-okhttp,spice-server
0.0.2,spice-server-undertow,spice-core,spice-client,spice,spice-delta,spice-client-okhttp,spice-server